K0_number	Gene_identification	Label
K11425	WHSC1L1, NSD3; histone-lysine N-methyltransferase NSD3 [EC:2.1.1.43]	WHSC1L1, NSD3; histone-lysine N-methyltransferase NSD3 [EC:2.1.1.43]
K13880	BEST3, VMD2L3; bestrophin-3	BEST3, VMD2L3; bestrophin-3
K00888	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]
K14782	AATF, BFR2; protein AATF/BFR2	AATF, BFR2; protein AATF/BFR2
K14407	CSTF2, RNA15; cleavage stimulation factor subunit 2	CSTF2, RNA15; cleavage stimulation factor subunit 2
K05989	ramA; alpha-L-rhamnosidase [EC:3.2.1.40]	ramA; alpha-L-rhamnosidase [EC:3.2.1.40]
K18213	PRORP; proteinaceous RNase P [EC:3.1.26.5]	PRORP; proteinaceous RNase P [EC:3.1.26.5]
K05679	ABCG1; ATP-binding cassette, subfamily G (WHITE), member 1	ABCG1; ATP-binding cassette, subfamily G (WHITE), member 1
K12418	DES4, des1; acyl-lipid (7-3)-desaturase (Delta-4 desaturase) [EC:1.14.19.31]	DES4, des1; acyl-lipid (7-3)-desaturase (Delta-4 desaturase) [EC:1.14.19.31]
K13220	WBP4, FBP21; WW domain-binding protein 4	WBP4, FBP21; WW domain-binding protein 4
K05749	CYFIP; cytoplasmic FMR1 interacting protein	CYFIP; cytoplasmic FMR1 interacting protein
K08716	SLC14A; solute carrier family 14 (urea transporter)	SLC14A; solute carrier family 14 (urea transporter)
K01996	livF; branched-chain amino acid transport system ATP-binding protein	livF; branched-chain amino acid transport system ATP-binding protein
K04920	KCNK10; potassium channel subfamily K member 10	KCNK10; potassium channel subfamily K member 10
K04808	CHRNA6; nicotinic acetylcholine receptor alpha-6	CHRNA6; nicotinic acetylcholine receptor alpha-6
K18342	OTUD6; OTU domain-containing protein 6 [EC:3.4.19.12]	OTUD6; OTU domain-containing protein 6 [EC:3.4.19.12]
K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]	ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
K12832	SF3B5, SF3B10; splicing factor 3B subunit 5	SF3B5, SF3B10; splicing factor 3B subunit 5
K08494	NSPN; novel plant SNARE	NSPN; novel plant SNARE
K09013	sufC; Fe-S cluster assembly ATP-binding protein	sufC; Fe-S cluster assembly ATP-binding protein
K17804	TIM44; mitochondrial import inner membrane translocase subunit TIM44	TIM44; mitochondrial import inner membrane translocase subunit TIM44
K18024	PTPN12_18_22; tyrosine-protein phosphatase non-receptor type 12/18/22 [EC:3.1.3.48]	PTPN12_18_22; tyrosine-protein phosphatase non-receptor type 12/18/22 [EC:3.1.3.48]
K03133	TAF9B, TAF9; transcription initiation factor TFIID subunit 9B	TAF9B, TAF9; transcription initiation factor TFIID subunit 9B
K19704	PTC1; protein phosphatase PTC1 [EC:3.1.3.16]	PTC1; protein phosphatase PTC1 [EC:3.1.3.16]
K15893	HPR1; hydroxypyruvate reductase 1	HPR1; hydroxypyruvate reductase 1
K07508	ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	Fatty acid biosynthesis
K07508	ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	Fatty acid breakdown
K13201	TIA1, TIAL1; nucleolysin TIA-1/TIAR	TIA1, TIAL1; nucleolysin TIA-1/TIAR
K07552	bcr; MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein	bcr; MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein
K15280	SLC35C2; solute carrier family 35, member C2	SLC35C2; solute carrier family 35, member C2
K00744	MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]	MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]
K00974	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
K03524	birA; BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	birA; BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]
K10569	NEIL3; endonuclease VIII-like 3	NEIL3; endonuclease VIII-like 3
K11656	CHRAC1, CHRAC15; chromatin accessibility complex protein 1	CHRAC1, CHRAC15; chromatin accessibility complex protein 1
K09485	HSP110; heat shock protein 110kDa	HSP110; heat shock protein 110kDa
K16629	COL21A; collagen, type XXI, alpha	COL21A; collagen, type XXI, alpha
K05941	E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15]	E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15]
K11303	HAT1, KAT1; histone acetyltransferase 1 [EC:2.3.1.48]	HAT1, KAT1; histone acetyltransferase 1 [EC:2.3.1.48]
K18211	SNAP25; synaptosomal-associated protein 25	SNAP25; synaptosomal-associated protein 25
K04715	E2.7.1.138, CERK; ceramide kinase [EC:2.7.1.138]	E2.7.1.138, CERK; ceramide kinase [EC:2.7.1.138]
K07436	CYP24A1; vitamin D3 24-hydroxylase [EC:1.14.15.16]	CYP24A1; vitamin D3 24-hydroxylase [EC:1.14.15.16]
K17509	PDPR; pyruvate dehydrogenase phosphatase regulatory subunit	PDPR; pyruvate dehydrogenase phosphatase regulatory subunit
K06072	DOHH; deoxyhypusine monooxygenase [EC:1.14.99.29]	DOHH; deoxyhypusine monooxygenase [EC:1.14.99.29]
K18930	dld; D-lactate dehydrogenase	dld; D-lactate dehydrogenase
K10630	RBCK1, HOIL1; RanBP-type and C3HC4-type zinc finger-containing protein 1 [EC:2.3.2.27]	RBCK1, HOIL1; RanBP-type and C3HC4-type zinc finger-containing protein 1 [EC:2.3.2.27]
K10185	TBX20; T-box protein 20	TBX20; T-box protein 20
K06587	ITGA11; integrin alpha 11	ITGA11; integrin alpha 11
K08179	SLC16A1; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 1	SLC16A1; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 1
K11808	ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]	ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]
K10142	STEAP3, TSAP6; metalloreductase STEAP3 [EC:1.16.1.-]	STEAP3, TSAP6; metalloreductase STEAP3 [EC:1.16.1.-]
K06872	K06872; uncharacterized protein	K06872; uncharacterized protein
K12501	HST; homogentisate solanesyltransferase [EC:2.5.1.117]	HST; homogentisate solanesyltransferase [EC:2.5.1.117]
K04569	CCS; copper chaperone for superoxide dismutase	CCS; copper chaperone for superoxide dismutase
K11493	RCC1; regulator of chromosome condensation	RCC1; regulator of chromosome condensation
K04485	radA, sms; DNA repair protein RadA/Sms	radA, sms; DNA repair protein RadA/Sms
K08585	CAPNN; calpain, invertebrate [EC:3.4.22.-]	CAPNN; calpain, invertebrate [EC:3.4.22.-]
K01478	arcA; arginine deiminase [EC:3.5.3.6]	arcA; arginine deiminase [EC:3.5.3.6]
K13218	PTBP1, PTB; polypyrimidine tract-binding protein 1	PTBP1, PTB; polypyrimidine tract-binding protein 1
K12389	BTS, CLN3; battenin	BTS, CLN3; battenin
K05312	CHRNN; nicotinic acetylcholine receptor, invertebrate	CHRNN; nicotinic acetylcholine receptor, invertebrate
K09637	TMPRSS6; transmembrane protease serine 6 [EC:3.4.21.-]	TMPRSS6; transmembrane protease serine 6 [EC:3.4.21.-]
K08319	ygbJ; putative dehydrogenase [EC:1.1.-.-]	ygbJ; putative dehydrogenase [EC:1.1.-.-]
K15704	RNF149; E3 ubiquitin-protein ligase RNF149 [EC:2.3.2.27]	RNF149; E3 ubiquitin-protein ligase RNF149 [EC:2.3.2.27]
K13335	PEX16; peroxin-16	PEX16; peroxin-16
K03297	emrE, qac, mmr, smr; small multidrug resistance pump	emrE, qac, mmr, smr; small multidrug resistance pump
K19737	PRMT9; type II protein arginine methyltransferase [EC:2.1.1.320]	PRMT9; type II protein arginine methyltransferase [EC:2.1.1.320]
K10742	DNA2; DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]	DNA2; DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]
K15305	VAC14, TAX1BP2; vacuole morphology and inheritance protein 14	VAC14, TAX1BP2; vacuole morphology and inheritance protein 14
K16533	CEP290, NPHP6; centrosomal protein CEP290	CEP290, NPHP6; centrosomal protein CEP290
K06183	rsuA; 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]	rsuA; 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]
K11806	WDSOF1; WD repeat and SOF domain-containing protein 1	WDSOF1; WD repeat and SOF domain-containing protein 1
K10255	FAD6, desA; acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]	FAD6, desA; acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]
K02892	RP-L23, MRPL23, rplW; large subunit ribosomal protein L23	RP-L23, MRPL23, rplW; large subunit ribosomal protein L23
K00504	PAM, PHM; peptidylglycine monooxygenase [EC:1.14.17.3]	PAM, PHM; peptidylglycine monooxygenase [EC:1.14.17.3]
K09919	K09919; uncharacterized protein	K09919; uncharacterized protein
K06766	NEO1; neogenin	NEO1; neogenin
K03145	TFIIS; transcription elongation factor S-II	TFIIS; transcription elongation factor S-II
K11841	USP10, UBP3; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]	USP10, UBP3; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]
K18334	fucD; L-fuconate dehydratase [EC:4.2.1.68]	fucD; L-fuconate dehydratase [EC:4.2.1.68]
K15738	uup; ATP-binding cassette, subfamily F, uup	uup; ATP-binding cassette, subfamily F, uup
K06718	ectA; L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]	ectA; L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]
K08588	BAP1, UCHL2; ubiquitin carboxyl-terminal hydrolase BAP1 [EC:3.4.19.12]	BAP1, UCHL2; ubiquitin carboxyl-terminal hydrolase BAP1 [EC:3.4.19.12]
K15356	VRG4, GONST1; GDP-mannose transporter	VRG4, GONST1; GDP-mannose transporter
K17675	SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]	SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]
K00515	BCMO1, BCDO1; beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]	BCMO1, BCDO1; beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]
K14776	DDX10, DBP4; ATP-dependent RNA helicase DDX10/DBP4 [EC:3.6.4.13]	DDX10, DBP4; ATP-dependent RNA helicase DDX10/DBP4 [EC:3.6.4.13]
K18271	RBP4; retinol-binding protein 4	RBP4; retinol-binding protein 4
K15791	DHKTD1; probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 [EC:1.2.4.2]	DHKTD1; probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 [EC:1.2.4.2]
K14664	ILR1; IAA-amino acid hydrolase [EC:3.5.1.-]	ILR1; IAA-amino acid hydrolase [EC:3.5.1.-]
K05086	INSRR; insulin receptor-related receptor [EC:2.7.10.1]	INSRR; insulin receptor-related receptor [EC:2.7.10.1]
K02428	rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]	rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]
K17662	CBP3, UQCC; cytochrome b pre-mRNA-processing protein 3	CBP3, UQCC; cytochrome b pre-mRNA-processing protein 3
K13619	DDHD1; phospholipase DDHD1 [EC:3.1.1.-]	DDHD1; phospholipase DDHD1 [EC:3.1.1.-]
K06934	K06934; uncharacterized protein	K06934; uncharacterized protein
K00746	CSGALNACT1_2; chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]	CSGALNACT1_2; chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]
K18405	TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7	TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7
K00289	E1.5.1.6, FTHFD; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]	E1.5.1.6, FTHFD; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K08577	CAPN8; calpain-8 [EC:3.4.22.-]	CAPN8; calpain-8 [EC:3.4.22.-]
K08081	TR1; tropinone reductase I [EC:1.1.1.206]	TR1; tropinone reductase I [EC:1.1.1.206]
K13094	RBM5_10; RNA-binding protein 5/10	RBM5_10; RNA-binding protein 5/10
K09189	MLL5; histone-lysine N-methyltransferase MLL5 [EC:2.1.1.43]	MLL5; histone-lysine N-methyltransferase MLL5 [EC:2.1.1.43]
K18273	TECTA; alpha-tectorin	TECTA; alpha-tectorin
K05201	GRIK1; glutamate receptor, ionotropic kainate 1	GRIK1; glutamate receptor, ionotropic kainate 1
K06838	SLIT1; slit 1	SLIT1; slit 1
K07606	VIM; vimentin	VIM; vimentin
K17808	ZIM17, DNLZ, Tim15; mitochondrial protein import protein ZIM17	ZIM17, DNLZ, Tim15; mitochondrial protein import protein ZIM17
K09381	PAX3_7; paired box protein 3/7	PAX3_7; paired box protein 3/7
K07760	CDK; cyclin-dependent kinase [EC:2.7.11.22]	CDK; cyclin-dependent kinase [EC:2.7.11.22]
K00909	GRK1_7; rhodopsin kinase [EC:2.7.11.14]	GRK1_7; rhodopsin kinase [EC:2.7.11.14]
K03015	RPB7, POLR2G; DNA-directed RNA polymerase II subunit RPB7	RPB7, POLR2G; DNA-directed RNA polymerase II subunit RPB7
K01661	menB; naphthoate synthase [EC:4.1.3.36]	menB; naphthoate synthase [EC:4.1.3.36]
K10712	ADO; cysteamine dioxygenase [EC:1.13.11.19]	ADO; cysteamine dioxygenase [EC:1.13.11.19]
K09837	LUT1, CYP97C1; carotene epsilon-monooxygenase [EC:1.14.99.45]	LUT1, CYP97C1; carotene epsilon-monooxygenase [EC:1.14.99.45]
K06617	E2.4.1.82; raffinose synthase [EC:2.4.1.82]	E2.4.1.82; raffinose synthase [EC:2.4.1.82]
K01634	SGPL1, DPL1; sphinganine-1-phosphate aldolase [EC:4.1.2.27]	SGPL1, DPL1; sphinganine-1-phosphate aldolase [EC:4.1.2.27]
K05763	MSN; moesin	MSN; moesin
K03134	TAF10; transcription initiation factor TFIID subunit 10	TAF10; transcription initiation factor TFIID subunit 10
K11089	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein
K07019	K07019; uncharacterized protein	K07019; uncharacterized protein
K11755	hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]	hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]
K13240	NOS1; nitric-oxide synthase, brain [EC:1.14.13.39]	NOS1; nitric-oxide synthase, brain [EC:1.14.13.39]
K01999	livK; branched-chain amino acid transport system substrate-binding protein	livK; branched-chain amino acid transport system substrate-binding protein
K14859	SSF1_2; ribosome biogenesis protein SSF1/2	SSF1_2; ribosome biogenesis protein SSF1/2
K13305	NEDD4L; E3 ubiquitin-protein ligase NEDD4-like [EC:2.3.2.26]	NEDD4L; E3 ubiquitin-protein ligase NEDD4-like [EC:2.3.2.26]
K04344	CACNA1A; voltage-dependent calcium channel P/Q type alpha-1A	CACNA1A; voltage-dependent calcium channel P/Q type alpha-1A
K04483	radA; DNA repair protein RadA	radA; DNA repair protein RadA
K19573	ATAT1, MEC17; alpha-tubulin N-acetyltransferase 1 [EC:2.3.1.108]	ATAT1, MEC17; alpha-tubulin N-acetyltransferase 1 [EC:2.3.1.108]
K14686	SLC31A1, CTR1; solute carrier family 31 (copper transporter), member 1	SLC31A1, CTR1; solute carrier family 31 (copper transporter), member 1
K17353	TSPAN18; tetraspanin-18	TSPAN18; tetraspanin-18
K17292	TBCA; tubulin-specific chaperone A	TBCA; tubulin-specific chaperone A
K09864	AQP1; aquaporin-1	AQP1; aquaporin-1
K10997	TOF1, SWI1; replication fork protection complex subunit Tof1/Swi1	TOF1, SWI1; replication fork protection complex subunit Tof1/Swi1
K10728	TOPBP1; topoisomerase (DNA) II binding protein 1	TOPBP1; topoisomerase (DNA) II binding protein 1
K05303	K05303; O-methyltransferase [EC:2.1.1.-]	K05303; O-methyltransferase [EC:2.1.1.-]
K14512	MPK6; mitogen-activated protein kinase 6 [EC:2.7.11.24]	MPK6; mitogen-activated protein kinase 6 [EC:2.7.11.24]
K04630	GNAI; guanine nucleotide-binding protein G(i) subunit alpha	GNAI; guanine nucleotide-binding protein G(i) subunit alpha
K02969	RP-S20e, RPS20; small subunit ribosomal protein S20e	RP-S20e, RPS20; small subunit ribosomal protein S20e
K05681	ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2	ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2
K11586	CBX3, HP1G; chromobox protein 3	CBX3, HP1G; chromobox protein 3
K07561	DPH1, dph2; 2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]	DPH1, dph2; 2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]
K11341	YEATS4, GAS41, YAF9; YEATS domain-containing protein 4	YEATS4, GAS41, YAF9; YEATS domain-containing protein 4
K15166	MED23; mediator of RNA polymerase II transcription subunit 23	MED23; mediator of RNA polymerase II transcription subunit 23
K17551	PPP1R9; neurabin	PPP1R9; neurabin
K10088	OS9; protein OS-9	OS9; protein OS-9
K01345	CELA3; pancreatic endopeptidase E [EC:3.4.21.70]	CELA3; pancreatic endopeptidase E [EC:3.4.21.70]
K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K11267	PDS5; sister chromatid cohesion protein PDS5	PDS5; sister chromatid cohesion protein PDS5
K18400	KANSL1; KAT8 regulatory NSL complex subunit 1	KANSL1; KAT8 regulatory NSL complex subunit 1
K04809	CHRNA7; nicotinic acetylcholine receptor alpha-7	CHRNA7; nicotinic acetylcholine receptor alpha-7
K08816	VRK; vaccinia related kinase [EC:2.7.11.1]	VRK; vaccinia related kinase [EC:2.7.11.1]
K03118	tatC; sec-independent protein translocase protein TatC	tatC; sec-independent protein translocase protein TatC
K12796	ERBB2IP, ERBIN; erbb2-interacting protein	ERBB2IP, ERBIN; erbb2-interacting protein
K15074	BACURD; BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein	BACURD; BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein
K00266	gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]
K08892	FRK, PTK5; fyn-related kinase [EC:2.7.10.2]	FRK, PTK5; fyn-related kinase [EC:2.7.10.2]
K09237	TTK; tramtrack	TTK; tramtrack
K17903	RCAN2, ZAKI4; calcipressin-2	RCAN2, ZAKI4; calcipressin-2
K08511	ATVAMP72; vesicle-associated membrane protein 72	ATVAMP72; vesicle-associated membrane protein 72
K00613	GATM; glycine amidinotransferase [EC:2.1.4.1]	GATM; glycine amidinotransferase [EC:2.1.4.1]
K08561	NR6A1, GCNF; germ cell nuclear factor	NR6A1, GCNF; germ cell nuclear factor
K02157	AXIN1; axin 1	AXIN1; axin 1
K15294	CPLX1_2; complexin-1/2	CPLX1_2; complexin-1/2
K18450	ATCAY; caytaxin	ATCAY; caytaxin
K06177	rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]	rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]
K08472	MLO; mlo protein	MLO; mlo protein
K03567	gcvR; glycine cleavage system transcriptional repressor	gcvR; glycine cleavage system transcriptional repressor
K19932	NCS1; neuronal calcium sensor 1	NCS1; neuronal calcium sensor 1
K08745	SLC27A1_4, FATP1, FATP4; solute carrier family 27 (fatty acid transporter), member 1/4 [EC:6.2.1.-]	SLC27A1_4, FATP1, FATP4; solute carrier family 27 (fatty acid transporter), member 1/4 [EC:6.2.1.-]
K06171	NCSTN; nicastrin	NCSTN; nicastrin
K00899	mtnK; 5-methylthioribose kinase [EC:2.7.1.100]	mtnK; 5-methylthioribose kinase [EC:2.7.1.100]
K14303	NUP160, NUP120; nuclear pore complex protein Nup160	NUP160, NUP120; nuclear pore complex protein Nup160
K01214	ISA, treX; isoamylase [EC:3.2.1.68]	ISA, treX; isoamylase [EC:3.2.1.68]
K03932	lpqC; polyhydroxybutyrate depolymerase	lpqC; polyhydroxybutyrate depolymerase
K13193	RBM27; RNA-binding protein 27	RBM27; RNA-binding protein 27
K02040	pstS; phosphate transport system substrate-binding protein	pstS; phosphate transport system substrate-binding protein
K14800	TSR2; pre-rRNA-processing protein TSR2	TSR2; pre-rRNA-processing protein TSR2
K16680	ED; echinoid	ED; echinoid
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	TCA cycle
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	Glyoxylate cycle
K10765	ALKBH1; alkylated DNA repair protein alkB homolog 1 [EC:1.14.11.- 4.2.99.18]	ALKBH1; alkylated DNA repair protein alkB homolog 1 [EC:1.14.11.- 4.2.99.18]
K07523	LRRC4C, NGL1; netrin-G1 ligand	LRRC4C, NGL1; netrin-G1 ligand
K04655	hypE; hydrogenase expression/formation protein HypE	hypE; hydrogenase expression/formation protein HypE
K01489	cdd, CDA; cytidine deaminase [EC:3.5.4.5]	cdd, CDA; cytidine deaminase [EC:3.5.4.5]
K01514	PRUNE, PPX1; exopolyphosphatase [EC:3.6.1.11]	PRUNE, PPX1; exopolyphosphatase [EC:3.6.1.11]
K05387	GRIP; glutamate receptor, ionotropic, plant	GRIP; glutamate receptor, ionotropic, plant
K06255	HSPG2; heparan sulfate proteoglycan 2 (perlecan)	HSPG2; heparan sulfate proteoglycan 2 (perlecan)
K01627	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
K01974	RTCA, rtcA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]	RTCA, rtcA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]
K13987	NUDT5; ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase [EC:3.6.1.13 3.6.1.58 3.6.1.-]	NUDT5; ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase [EC:3.6.1.13 3.6.1.58 3.6.1.-]
K05939	aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]	aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]
K08486	STX1B_2_3; syntaxin 1B/2/3	STX1B_2_3; syntaxin 1B/2/3
K07160	K07160; UPF0271 protein	K07160; UPF0271 protein
K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K00779	SIAT2, ST6GAL2; beta-galactoside alpha2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.99.1]	SIAT2, ST6GAL2; beta-galactoside alpha2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.99.1]
K17493	CAMSAP; calmodulin-regulated spectrin-associated protein	CAMSAP; calmodulin-regulated spectrin-associated protein
K02048	cysP, sbp; sulfate transport system substrate-binding protein	cysP, sbp; sulfate transport system substrate-binding protein
K01470	E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]	E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]
K08439	GPR161; G protein-coupled receptor 161	GPR161; G protein-coupled receptor 161
K18897	sdmt; sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]	sdmt; sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]
K13164	MSL2; male-specific lethal 2	MSL2; male-specific lethal 2
K05731	TIAM1; T-lymphoma invasion and metastasis-inducing protein 1	TIAM1; T-lymphoma invasion and metastasis-inducing protein 1
K01224	E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]	E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]
K19306	BUD23; 18S rRNA (guanine1575-N7)-methyltransferase [EC:2.1.1.309]	BUD23; 18S rRNA (guanine1575-N7)-methyltransferase [EC:2.1.1.309]
K19480	ANO5, GDD1, TMEM16E; anoctamin-5	ANO5, GDD1, TMEM16E; anoctamin-5
K08238	XXT; xyloglucan 6-xylosyltransferase [EC:2.4.2.39]	XXT; xyloglucan 6-xylosyltransferase [EC:2.4.2.39]
K05712	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
K07375	TUBB; tubulin beta	TUBB; tubulin beta
K05690	CTNND1; catenin (cadherin-associated protein), delta 1	CTNND1; catenin (cadherin-associated protein), delta 1
K05644	ABCA4; ATP-binding cassette, subfamily A (ABC1), member 4	ABCA4; ATP-binding cassette, subfamily A (ABC1), member 4
K04559	HIP1; huntingtin interacting protein 1	HIP1; huntingtin interacting protein 1
K06047	TTL; tubulin---tyrosine ligase [EC:6.3.2.25]	TTL; tubulin---tyrosine ligase [EC:6.3.2.25]
K02400	flhA; flagellar biosynthesis protein FlhA	flhA; flagellar biosynthesis protein FlhA
K07808	HS3ST2; [heparan sulfate]-glucosamine 3-sulfotransferase 2 [EC:2.8.2.29]	HS3ST2; [heparan sulfate]-glucosamine 3-sulfotransferase 2 [EC:2.8.2.29]
K03792	SIAT10, ST3GAL6; beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 10) [EC:2.4.99.10]	SIAT10, ST3GAL6; beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 10) [EC:2.4.99.10]
K19832	NOA1; nitric oxide-associated protein 1	NOA1; nitric oxide-associated protein 1
K06013	STE24; STE24 endopeptidase [EC:3.4.24.84]	STE24; STE24 endopeptidase [EC:3.4.24.84]
K01050	BCHE; cholinesterase [EC:3.1.1.8]	BCHE; cholinesterase [EC:3.1.1.8]
K03905	FGG; fibrinogen gamma chain	FGG; fibrinogen gamma chain
K15789	TDH; threonine 3-dehydrogenase [EC:1.1.1.103]	TDH; threonine 3-dehydrogenase [EC:1.1.1.103]
K00836	ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]	ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]
